company,sector,price,variation,open,high,low,downward_limit,upward_limit,last_dividend,last_dividend_date,volume,valuation,capital,estimated_yield_2024,tradeDate
AIR LIQUIDE,Chimie de base,186.940,-0.51,187.700,188.160,186.220,181.340,192.540,2.95,15.05.23,364325,98056,0.07,1.79,01.03.24/17:35:18
AIRBUS,Aérospatiale,152.640,-0.20,154.000,154.120,152.240,148.080,157.200,1.8,25.04.23,726414,120656,0.09,1.67,01.03.24/17:38:18
ALSTOM,Outillage industriel,12.085,-2.07,12.495,12.495,12.005,11.725,12.445,0.25,17.07.23,1182820,4644,0.31,-,01.03.24/17:38:04
ARCELORMITTAL,Fer et acier,24.0800,-0.17,24.1650,24.2100,23.9750,23.3600,24.8000,0.38,13.05.22,2031477,20536,0.24,1.92,01.03.24/17:36:28
AXA,Assurance - Services complets,32.3600,-1.58,33.0000,33.0000,32.3250,31.3900,33.3300,1.7,08.05.23,3005763,73463,0.13,6.25,01.03.24/17:35:12
BNP PARIBAS,Banques,56.150,+1.39,55.530,56.440,55.380,54.470,57.830,3.9,22.05.23,2517235,64431,0.22,8.19,01.03.24/17:39:54
BOUYGUES,Construction lourde,36.110,-1.26,36.620,36.700,35.940,35.030,37.190,1.8,03.05.23,1140020,13804,0.30,5.25,01.03.24/17:37:18
CAPGEMINI,Services informatiques,225.000,+0.13,226.000,226.800,223.300,218.300,231.700,3.25,30.05.23,197621,38837,0.11,1.60,01.03.24/17:35:21
CARREFOUR,Détaillants et grossistes - Alimentation,15.3550,-1.13,15.5300,15.6100,15.2650,14.8950,15.8150,0.56,06.06.23,1988816,10883,0.28,4.91,01.03.24/17:39:05
CREDIT AGRICOLE SA,Banques,12.6000,+0.64,12.5680,12.6500,12.5300,12.2220,12.9780,1.05,30.05.23,3346723,38464,0.11,7.29,01.03.24/17:35:26
DANONE,Produits alimentaires,58.720,-0.51,59.010,59.260,58.530,56.960,60.480,2,09.05.23,1008501,39799,0.15,3.52,01.03.24/17:39:49
DASSAULT SYSTEMES,Logiciels,42.7650,-0.97,43.4700,43.5450,42.4000,41.4850,44.0450,0.21,29.05.23,1007502,57153,0.08,0.59,01.03.24/17:35:32
EDENRED,Gestion financière,47.840,+4.48,44.790,47.840,44.660,46.410,49.270,1,07.06.23,1627895,11940,0.65,2.39,01.03.24/17:35:00
ENGIE,Services multiples aux collectivités,14.6960,-0.94,14.9240,14.9620,14.6260,14.2560,15.1360,1.4,28.04.23,4639927,35789,0.19,8.09,01.03.24/17:35:08
ESSILORLUXOTTICA,Fournitures médicales,197.580,+0.72,196.480,199.040,195.940,191.660,203.500,3.23,22.05.23,266147,89669,0.06,1.98,01.03.24/17:35:11
