company,sector,price,variation,open,high,low,downward_limit,upward_limit,last_dividend,last_dividend_date,volume,valuation,capital,estimated_yield_2024,tradeDate
EUROFINS SCIENTIFIC,Prestataires de soins de santé,55.540,+0.54,55.320,55.920,54.940,53.880,57.200,1,04.07.23,233704,10718,0.12,1.72,01.03.24/17:36:27
HERMES INTL,Habillement et accessoires,2308.000,-0.22,2306.000,2323.500,2289.500,2239.000,2377.000,3.5,13.02.24,32092,243654,0.03,0.74,01.03.24/17:35:02
KERING,Distributeurs - Diversifiés,423.950,-0.26,425.000,426.650,417.950,411.250,436.650,4.5,15.01.24,130552,52324,0.11,3.29,01.03.24/17:35:28
L'OREAL,Produits de soin personnel,441.950,+0.06,442.800,444.250,437.250,428.700,455.200,6,26.04.23,228320,236322,0.04,1.56,01.03.24/17:38:01
LEGRAND,Composants et équipements électriques,92.940,-0.60,93.940,94.340,92.360,90.160,95.720,1.9,02.06.23,302012,24539,0.11,2.33,01.03.24/17:35:17
LVMH,Habillement et accessoires,846.400,+0.43,838.000,850.200,837.500,821.100,871.700,5.5,04.12.23,233276,424386,0.05,1.65,01.03.24/17:35:48
MICHELIN,Pneus,33.930,-0.76,34.350,34.450,33.870,32.920,34.940,4.5,17.05.22,1149137,24259,0.16,4.68,01.03.24/17:35:05
ORANGE,Télécommunications filaires,10.5760,-0.28,10.6000,10.6360,10.5600,10.2600,10.8920,0.3,04.12.23,4014104,28133,0.15,6.97,01.03.24/17:35:25
PERNOD RICARD,Distillateurs et viticulteurs,156.050,+0.97,154.550,156.050,154.400,151.400,160.700,2.64,24.11.23,333163,39891,0.13,2.98,01.03.24/17:35:13
PUBLICIS GROUPE,Agences de médias,97.580,-0.20,98.060,98.500,97.080,94.660,100.500,2.9,03.07.23,325128,24816,0.13,3.52,01.03.24/17:35:26
RENAULT,Automobiles,38.6900,+0.42,38.8500,39.3800,38.3900,37.5300,39.8500,0.25,17.05.23,889664,11441,0.30,6.20,01.03.24/17:35:25
SAFRAN,Aérospatiale,193.440,-0.13,194.640,194.820,192.160,187.640,199.240,1.35,30.05.23,283431,82649,0.07,1.45,01.03.24/17:35:09
SAINT-GOBAIN,Materiaux et accessoires de construction,68.600,-3.65,72.280,73.600,67.110,66.550,70.650,2,12.06.23,2119689,34743,0.42,3.14,01.03.24/17:35:24
SANOFI,Pharmacie,87.310,-0.66,88.450,88.520,87.090,84.700,89.920,3.56,30.05.23,1585969,110429,0.13,4.29,01.03.24/17:37:48
SCHNEIDER ELECTRIC,Composants et équipements électriques,209.900,+0.05,210.700,211.750,207.600,203.650,216.150,3.15,09.05.23,508059,120238,0.09,1.81,01.03.24/17:35:03
SOCIETE GENERALE,Banques,22.7400,+1.38,22.4300,22.8700,22.3950,22.0600,23.4200,1.7,30.05.23,2645083,18260,0.33,4.89,01.03.24/17:35:06
STELLANTIS,Automobiles,24.425,+1.22,24.420,24.500,24.260,23.695,25.155,1.34,24.04.23,1787027,77310,0.06,6.30,01.03.24/17:35:20
STMICROELECTRONICS,Semi-conducteurs,43.2900,+3.75,42.2850,43.2900,42.1100,41.9950,44.5850,0.06,11.12.23,1559110,39449,0.17,0.54,01.03.24/17:35:28
TELEPERFORMANCE,Services d'appui professionnels,111.000,-3.10,115.150,117.150,107.550,107.700,114.300,3.85,21.04.23,487916,7042,0.77,3.31,01.03.24/17:35:25
THALES,Défense,135.400,-1.20,137.500,138.250,135.400,131.350,139.450,0.8,05.12.23,236008,28462,0.11,2.54,01.03.24/17:35:18
TOTALENERGIES,Sociétés pétrolières et gazières intégrées,59.800,+1.37,59.220,59.840,59.140,58.010,61.590,0.74,02.01.24,3010134,142733,0.13,5.30,01.03.24/17:38:54
UNIBAIL-RODAMCO-WESTFIELD,Biens immobiliers destinés à la vente au détail,69.080,+2.22,67.560,69.080,67.560,67.020,71.140,-,27.03.20,377966,9605,0.27,4.96,01.03.24/17:35:08
VEOLIA,Eau,29.010,+1.26,28.710,29.210,28.620,28.140,29.880,1.12,09.05.23,1547195,21044,0.21,4.81,01.03.24/17:35:26
VINCI,Construction lourde,117.300,-0.93,118.760,118.800,116.840,113.800,120.800,1.05,14.11.23,415738,69095,0.07,4.03,01.03.24/17:35:25
VIVENDI,Audiovisuel et divertissements,10.4650,+1.31,10.3900,10.4750,10.3550,10.1550,10.7750,0.25,25.04.23,1621966,10778,0.16,3.23,01.03.24/17:35:01
CAC 40,7934.17,+0.09,7950.66,7964.78,7900.48,7900.48,01.03.24/18:05:02
